id_filme;title;data_lanc;budget;revenue;vote_average;vote_count;popularity;id_diretor
19995;Avatar;2009-12-10;237000000;2787965087;7.2;11800;150.437577;2710.0
285;Pirates of the Caribbean: At World's End;2007-05-19;300000000;961000000;6.9;4500;139.082615;1704.0
206647;Spectre;2015-10-26;245000000;880674609;6.3;4466;107.376788;39.0
49026;The Dark Knight Rises;2012-07-16;250000000;1084939099;7.6;9106;112.31295;525.0
49529;John Carter;2012-03-07;260000000;284139100;6.1;2124;43.926995;7.0
559;Spider-Man 3;2007-05-01;258000000;890871626;5.9;3576;115.699814;7623.0
38757;Tangled;2010-11-24;260000000;591794936;7.4;3330;48.681969;76595.0
99861;Avengers: Age of Ultron;2015-04-22;280000000;1405403694;7.3;6767;134.279229;12891.0
767;Harry Potter and the Half-Blood Prince;2009-07-07;250000000;933959197;7.4;5293;98.885637;11343.0
209112;Batman v Superman: Dawn of Justice;2016-03-23;250000000;873260194;5.7;7004;155.790452;15217.0
1452;Superman Returns;2006-06-28;270000000;391081192;5.4;1400;57.925623;9032.0
10764;Quantum of Solace;2008-10-30;200000000;586090727;6.1;2965;107.928811;12995.0
58;Pirates of the Caribbean: Dead Man's Chest;2006-06-20;200000000;1065659812;7.0;5246;145.847379;1704.0
57201;The Lone Ranger;2013-07-03;255000000;89289910;5.9;2311;49.046956;1704.0
49521;Man of Steel;2013-06-12;225000000;662845518;6.5;6359;99.398009;15217.0
2454;The Chronicles of Narnia: Prince Caspian;2008-05-15;225000000;419651413;6.3;1630;53.978602;5524.0
24428;The Avengers;2012-04-25;220000000;1519557910;7.4;11776;144.448633;12891.0
1865;Pirates of the Caribbean: On Stranger Tides;2011-05-14;380000000;1045713802;6.4;4948;135.413856;17633.0
41154;Men in Black 3;2012-05-23;225000000;624026776;6.2;4160;52.035179;5174.0
122917;The Hobbit: The Battle of the Five Armies;2014-12-10;250000000;956019788;7.1;4760;120.965743;108.0
1930;The Amazing Spider-Man;2012-06-27;215000000;752215857;6.5;6586;89.866276;87742.0
20662;Robin Hood;2010-05-12;200000000;310669540;6.2;1398;37.668301;578.0
57158;The Hobbit: The Desolation of Smaug;2013-12-11;250000000;958400000;7.6;4524;94.370564;108.0
2268;The Golden Compass;2007-12-04;180000000;372234864;5.8;1303;42.990906;3288.0
254;King Kong;2005-12-14;207000000;550000000;6.6;2337;61.22601;108.0
597;Titanic;1997-11-18;200000000;1845034188;7.5;7562;100.025899;2710.0
271110;Captain America: Civil War;2016-04-27;250000000;1153304495;7.1;7241;198.372395;19271.0
44833;Battleship;2012-04-11;209000000;303025485;5.5;2114;64.928382;36602.0
135397;Jurassic World;2015-06-09;150000000;1513528810;6.5;8662;418.708552;930707.0
37724;Skyfall;2012-10-25;200000000;1108561013;6.9;7604;93.004993;39.0
558;Spider-Man 2;2004-06-25;200000000;783766341;6.7;4321;35.149586;7623.0
68721;Iron Man 3;2013-04-18;200000000;1215439994;6.8;8806;77.68208;1108.0
12155;Alice in Wonderland;2010-03-03;200000000;1025491110;6.4;4645;78.530105;510.0
36668;X-Men: The Last Stand;2006-05-24;210000000;459359555;6.3;3525;3.857526;11091.0
62211;Monsters University;2013-06-20;200000000;743559607;7.0;3528;89.186492;225976.0
8373;Transformers: Revenge of the Fallen;2009-06-19;150000000;836297228;6.0;3138;21.939663;865.0
91314;Transformers: Age of Extinction;2014-06-25;210000000;1091405097;5.8;3095;116.840296;865.0
68728;Oz: The Great and Powerful;2013-03-07;200000000;491868548;5.7;3530;46.985445;7623.0
102382;The Amazing Spider-Man 2;2014-04-16;200000000;705717432;6.5;4179;89.270217;87742.0
20526;TRON: Legacy;2010-12-10;170000000;400062763;6.3;2841;73.79505;86270.0
49013;Cars 2;2011-06-11;200000000;559852396;5.8;2033;49.98659;7879.0
44912;Green Lantern;2011-06-16;200000000;219851172;5.1;2487;51.872839;10702.0
10193;Toy Story 3;2010-06-16;200000000;1066969703;7.6;4597;59.995418;8.0
534;Terminator Salvation;2009-05-20;200000000;371353001;5.9;2463;71.862892;36425.0
168259;Furious 7;2015-04-01;190000000;1506249360;7.3;4176;102.322217;2127.0
72190;World War Z;2013-06-20;200000000;531865000;6.7;5560;81.834855;12995.0
